"sources","layers"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idrisnatprov.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idanpil.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idsir.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idsir_sir.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idnat2000_sic.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idnat2000_zps.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idnat2000_sic_zps.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.idramsar.rt.poly"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.id.pn.rns.pr.pp.rnp.rt.poly.dissolve"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.renato.specie.anfibi.rt.point"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.renato.specie.crostacei.rt.point"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.renato.specie.insetti.rt.point"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.renato.specie.mammiferi.rt.point"
"http://www502.regione.toscana.it/wmsraster/com.rt.wms.RTmap/wms?map=wmsarprot","rt_arprot.renato.specie.molluschi.rt.point"
